brewerySlug,beerSlug,name,beers,description,beerStyle,malts,hops,line1,line2,abv,ibu,originalGravity,availability,Image,pageImage,mapImage,Calories,carb,beerurl,mainImage
empyrean,mind-over-mango,Mind Over Mango,Mind Over Mango,"Hush. Hush. Listen and find stillness to receive the mindful union of bitter hops and sweet mango, symbols of health, wealth and immortality. This brut style IPA pairs well with beef, BBQ, grilled salmon and fruity desserts.",IPA,"2-Row, Aromatic, CaraRed, White Wheat","Citra, Mosaic", Natural Mango,Extra Hoppy,6,58,14,6-pack,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fempyrean%2Fbeers%2Fmind-over-mango%2F_resized%2Fmind-over-mango_3200x3200.png?alt=media,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fempyrean%2Fbeers%2Fmind-over-mango%2Fmind-over-mango.png?alt=media,,,,
empyrean,third-stone-brown,Third Stone Brown,Third Stone Brown,"A myth-shattering ale that proves all dark beers don't have to be filling. Sweetly smooth with nutty hints of roasted caramel flavor. Pair with grilled beef or vegetables, Southwest cuisine and caramel desserts.",Brown,"2-Row, Caramel 60, Midnight Wheat and Biscuit",Willamette,,Malty,5,13,13.3,6-pack,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fempyrean%2Fbeers%2Fthird-stone-brown%2F_resized%2Fthird-stone-brown_3200x3200.png?alt=media,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fempyrean%2Fbeers%2Fthird-stone-brown%2Fthird-stone-brown.png?alt=media,,,,
empyrean,burning-skye-scottish,Burning Skye Scottish,Burning Skye Scottish,"Brewed in the tradition of Scotland's malty-sweet beers. Sweet and smooth with a wee hint of smoked character. Pair with grilled chicken, beef, BBQ or wild game.",,"2-Row, Honey, Smoked, Biscuit, Caramel 60 and Midnight Wheat",Nugget and Cascade,,Extra Malty,5,13,13,6-pack,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fempyrean%2Fbeers%2Fburning-skye-scottish%2F_resized%2Fburning-skye-scottish_3200x3200.png?alt=media,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fempyrean%2Fbeers%2Fburning-skye-scottish%2Fburning-skye-scottish.png?alt=media,,,,
zipline,dear-old,Dear Old Nebraska Brew,Dear Old Nebraska Brew,"An American lager, it will be available initially on draft at the Champions Club and available for retail purchase in other locations around the state this fall. Zipline will donate a dollar from every case sold to support Nebraska alumni engagement programs.",Lager,,,,,4.8,n/a,n/a,6-pack,,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fzipline%2Fbeers%2Fdear-old%2Fdear-old.png?alt=media,,,,
zipline,milk-stout,Milk Stout,Milk Stout,"Silky milk sugar smoothes out the dark chocolate and coffee notes of this classic stout, making it the perfect fireside treat.",Milk Stout,,,,,5.8,47,n/a,6-pack,,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fzipline%2Fbeers%2Fmilk-stout%2Fmilk-stout.png?alt=media,,,,
zipline,festbier,Festbier,Festbier,This golden lager was inspired by the beers served at the modern day Oktoberfest celebration in Munich. Drinks smooth and crisp with hearty malt flavor. Prost!,Festbier,,,Malty Crisp,,6,20,n/a,6-pack,,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fzipline%2Fbeers%2Ffestbier%2Ffestbier.png?alt=media,,,,
zipline,gold-lager,Gold Lager,Gold Lager,This refreshingly drinkable golden lager balances floral hop aroma with rich malt character.,Lager,"Pilsner, Vienna","Hallertau, Tettnang",,,6,18,n/a,6-pack,,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fzipline%2Fbeers%2Fgold-lager%2Fgold-lager.png?alt=media,,,,
zipline,nz,NZ IPA,NZ IPA,"Once the flagship beer of Zipline, the NZ IPA is back for a limited time. With heaps of Motueka, Rakau, and Wakatu, and that classic rich malt base, fans of our very first IPA will instantly suss out the unique flavors of citrus, honey and blackberry in this OG Zipline IPA.",IPA,,,,,6.8,n/a,n/a,6-pack,,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fzipline%2Fbeers%2Fnz%2Fnz.png?alt=media,,,,
zipline,easy-lift,Easy Lifting IPA,Easy Lifting IPA,"Drop the calories, but not the hops, and take it easy with this refreshing IPA.",IPA,,,"CITRUS, LIGHT, CRISP",,4.3,,n/a,6-pack,,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fzipline%2Fbeers%2Feasy-lift%2Feasy-lift.png?alt=media,110,,,
zipline,cloudlifter-tropical-hazy-ipa,Tropical Cloudlifter Hazy IPA,Tropical Cloudlifter Hazy IPA,"We packed this Brave New Brew with pineapple and passionfruit puree, enhancing it’s already juicy hop flavors and aromas of our year round Cloudlifter Hazy IPA!",IPA,,,,,8,n/a,n/a,6-pack,,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fzipline%2Fbeers%2Fcloudlifter-tropical-hazy-ipa%2Fcloudlifter-tropical-hazy-ipa.png?alt=media,,,,
zipline,cloudlifter-hazy-ipa,Cloudlifter Hazy IPA,Cloudlifter Hazy IPA,"Juicy pineapple and orange notes shine through in this cirrus-ly hazy, hoppy delight.",IPA,"Pilsner, Wheat, Oats","Sultana, Mosaic, Amarillo",HAZY IPA,"JUICY, DANK, PINEAPPLE",7,n/a,n/a,6-pack,,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fzipline%2Fbeers%2Fcloudlifter-hazy-ipa%2Fcloudlifter-hazy-ipa.png?alt=media,,,,
zipline,copper-alt,Copper Alt.,Copper Alt.,"2015 GREAT AMERICAN BEER FESTIVAL® · GOLD MEDAL · GERMAN-STYLE ALTBIER A hybrid style between an ale and a lager, this bronze-hued brew goes down easy with subtle nuances of chocolate and hazelnut.",GERMAN ALTBIER,"Pilsner, Carahell, Special B, Caramel, Carafa","Magnum, Hallertau, Sterling", HAZELNUT,MALTY,5.2,26,n/a,6-pack,,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fzipline%2Fbeers%2Fcopper-alt%2Fcopper-alt.png?alt=media,,,,
zipline,daaang-ipa,DAAANG! IPA,DAAANG! IPA,This new American IPA is so dank and tangy its name was instantly obvious.,IPA,"Pilsner, Vienna","Simcoe, CItra, Mosaic",DOUBLE IPA," DANK, TANGY, HOPPY",8,45,n/a,6-pack,,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fzipline%2Fbeers%2Fdaaang-ipa%2Fdaaang-ipa.png?alt=media,,,,
zipline,german-style-kolsch,German-Style KÖLSCH,German-Style KÖLSCH,"A refreshing ale that drinks like a lager, our German-style Kölsch pours straw yellow with hints of honey malt character and a smooth, crisp finish.",GERMAN KÖLSCH,"Pils, Munich & Local Organic White Wheat","Magnum, Tettnang",,"CRISP, HONEY, SMOOTH",5.4,24,n/a,6-pack,,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fzipline%2Fbeers%2Fgerman-style-kolsch%2Fgerman-style-kolsch.png?alt=media,,,,
zipline,hazy-ipa,Hazy IPA,Hazy IPA,"Bright grapefruit and citrus aromas accentuate the smooth, juicy flavor of our flagship hazy IPA.",IPA,"Pilsner, Wheat, Oats","Centennial, Citra, Mosaic",HAZY IPA,"GRAPEFRUIT, CITRUS, JUICY",5.5,n/a,n/a,6-pack,,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fzipline%2Fbeers%2Fhazy-ipa%2Fhazy-ipa.png?alt=media,,,,
zipline,ipa,IPA,IPA,"This bright, golden IPA overflows with juicy hops, showcasing a sublime blend of tropical citrus, grapefruit and mango aromas.",IPA,"Pilsner, Honey, Crystal",unknown,AMERICAN IPA," CITRUS, GRAPEFRUIT, MANGO",6.5,60,n/a,6-pack,,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fzipline%2Fbeers%2Fipa%2Fipa.png?alt=media,,,,
zipline,local-time,Local Time,Local Time,"When you want an easy drinking lager that’s low in calories but doesn’t sell out on taste, It’s Local Time.",Light Lager,"Pilsner, Vienna","Amarillo, Magnum",American Lager," CRISP, LIGHT, REFRESHING",4,n/a,n/a,6-pack,,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fzipline%2Fbeers%2Flocal-time%2Flocal-time.png?alt=media,100,4g,,
kinkaider,hirams-bones,Barrel Aged Hiram Bones Pack,Barrel Aged Hiram Bones Pack,"The Imperial Porter pours pitch black with an exceptional bourbon nose. Complex yet extremely easy to drink. You will taste a light oaky flavor from the barrel along with roasted coffee, dark chocolate, slight vanilla, caramel & a strong bourbon flavor with none of the alcohol burn of whiskey.",Porter Imperial Double,,,,,10.6,76,,6-Pack bottles,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fkinkaider%2Fbeers%2Fhirams-bones%2F_resized%2Fhirams-bones_3200x3200.png?alt=media,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fkinkaider%2Fbeers%2Fhirams-bones%2Fhirams-bones.png?alt=media,,,,
kinkaider,snow-beast,Snow Beast Winter Ale,Snow Beast Winter Ale,A creamy ale with strong vanilla flavors and aromas. It finishes with a warmth from the alcohol as well as the cinnamon. This is a surprisingly easy drinking beer and perfect for the winter cold.,Winter Warmer,"Maris Otter, C80, Blackprinz",Horizon,,,6.8,31,,6-Pack bottles,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fkinkaider%2Fbeers%2Fsnow-beast%2F_resized%2Fsnow-beast_3200x3200.png?alt=media,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fkinkaider%2Fbeers%2Fsnow-beast%2Fsnow-beast.png?alt=media,,,,
kinkaider,radler,Grapefruit Radler,Grapefruit Radler,An easy drinking wheat blended with freshly brewed grapefruit soda makes for a crushable beer after a day of biking.,Shandy Randler,,,,,3.5,12,,6-Pack bottles,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fkinkaider%2Fbeers%2Fradler%2F_resized%2Fradler_3200x3200.png?alt=media,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fkinkaider%2Fbeers%2Fradler%2Fradler.png?alt=media,,,,
kinkaider,hail,Hail Ale,,"Hail Ale is an easy-drinking, light ale brewed with Nebraska corn and lightly hopped! Light enough for sweltering September Saturdays in Nebraska and enough flavor to last all season. A collaboration between Kinkaider Brewing Co. and Hail Varsity. Go Big Red! ",Cream Ale,n/a,n/a,,,4.2,14,,6-Pack bottles,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fkinkaider%2Fbeers%2Fhail%2F_resized%2Fhail_3200x3200.png?alt=media,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fkinkaider%2Fbeers%2Fhail%2Fhail.png?alt=media,,,,
kinkaider,j-raspberry,Devil's Gap Rasberry,Devil's Gap Rasberry,Devil's Gap Jalapeño Ale with Raspberries added. Slightly spicy and sweet.,Spiced Herbed Beer,,,,,5,7,,6-Pack bottles,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fkinkaider%2Fbeers%2Fj-raspberry%2F_resized%2Fj-raspberry_3200x3200.png?alt=media,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fkinkaider%2Fbeers%2Fj-raspberry%2Fj-raspberry.png?alt=media,,,,
kinkaider,dan-wiser-peach,Dan the Wiser Peach Ale,Dan the Wiser Peach Ale,"Kinkaider Brewing Dan The Wiser is a German style ale that has some mild fruit like flavors and aroma. An all-around great beer to be enjoyed just about anywhere, anytime. Dan likes to pour himself one after a dusty ride on his iron steed.",Kolsch Peach,,,,,5.1,20,,6-Pack bottles,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fkinkaider%2Fbeers%2Fdan-wiser-peach%2F_resized%2Fdan-wiser-peach_3200x3200.png?alt=media,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fkinkaider%2Fbeers%2Fdan-wiser-peach%2Fdan-wiser-peach.png?alt=media,,,,
kinkaider,herd-blackberry,Herd's Law Blackberry Wheat,Herd's Law Blackberry Wheat,Dark wheat ale with blackberry puree added.,Blackberry Wheat," Northern Brewer, Mosaic","2-Row, Wheat, Midnight Wheat, C40",,,5.2,20,,6-Pack bottles,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fkinkaider%2Fbeers%2Fherd-blackberry%2F_resized%2Fherd-blackberry_3200x3200.png?alt=media,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fkinkaider%2Fbeers%2Fherd-blackberry%2Fherd-blackberry.png?alt=media,,,,
kinkaider,dragon,Dragon Juice IPA,Dragon Juice IPA,"Bright, juicy tropical and citrus fruit flavors with strong hop aroma from Amarillo, El Dorado and Citra hops. Smooth, subtle bitterness and a clean finish.",IPA,,,,,6,20,,6-Pack bottles,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fkinkaider%2Fbeers%2Fdragon%2F_resized%2Fdragon_3200x3200.png?alt=media,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fkinkaider%2Fbeers%2Fdragon%2Fdragon.png?alt=media,,,,
kinkaider,tropicale,Devil's Gap Tropicale Jalapeño Guava,Devil's Gap Tropicale Jalapeño Guava,Gap has been spending a lot of time close to the equator this winter and has taken an affinity for all flavors tropical! Pineapple and guava stood out as the front-runners to mix with our jalapeño ale to create Devil’s Gap TropicAle.,Jalapeño Guava Ale,,,,,5,17,,6-Pack bottles,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fkinkaider%2Fbeers%2Ftropicale%2F_resized%2Ftropicale_3200x3200.png?alt=media,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fkinkaider%2Fbeers%2Ftropicale%2Ftropicale.png?alt=media,,,,
kinkaider,star-snake-dank,Star Snake Dank,Star Snake Dank,"A bright and fresh hopped IPA like our Star Snake Dank IPA pairs well with spicy foods to balance out the heat, or heavy and salty foods to counterbalance the taste.",IPA,unknown,unknown,,,7.6,84,,6-Pack bottles,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fkinkaider%2Fbeers%2Fstar-snake-dank%2F_resized%2Fstar-snake-dank_3200x3200.png?alt=media,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fkinkaider%2Fbeers%2Fstar-snake-dank%2Fstar-snake-dank.png?alt=media,,,,
kinkaider,oktoberfest,Oktoberfest,Oktoberfest,"A nod to the German Festbier, this fresh pale lager has a strong malt backbone and a clean finish. It's the perfect beer to welcome the change of the seasons and anticipate harvest time.",German Festbier Lager October,"2-Row, Vienna, Munich, C40",Hallertauer Mittelfrueh,,,5.5,25,,6-Pack bottles,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fkinkaider%2Fbeers%2Foktoberfest%2F_resized%2Foktoberfest_3200x3200.png?alt=media,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fkinkaider%2Fbeers%2Foktoberfest%2Foktoberfest.png?alt=media,,,,
kinkaider,dan-the-wiser,Dan the Wiser,Dan the Wiser,"Dan The Wiser is a German style ale that has some mild fruit like flavors and aroma.  An all-around great beer to be enjoyed just about anywhere, anytime.  Dan likes to pour himself one after a dusty ride on his iron steed.",German Kolsch ,"2-Row, Goldpils",Hallertauer,,,4.3,20,,6-Pack bottles,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fkinkaider%2Fbeers%2Fdan-the-wiser%2F_resized%2Fdan-the-wiser_3200x3200.png?alt=media,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fkinkaider%2Fbeers%2Fdan-the-wiser%2Fdan-the-wiser.png?alt=media,,,,
kinkaider,frame-the-butcher,Frame The Butcher,Frame The Butcher,The Kinkaider well pulls up glorious Nebraska Sandhills water.  We merge that with the perfect blend of hops to give Frame the Butcher IPA a fresh aroma and a bright taste.,IPA," 2-Row, Munich, C40","Chinook, Cascade, Palisade, Centennial",West Coast Style IPAs ,,6.3,65,,6-Pack bottles,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fkinkaider%2Fbeers%2Fframe-the-butcher%2F_resized%2Fframe-the-butcher_3200x3200.png?alt=media,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fkinkaider%2Fbeers%2Fframe-the-butcher%2Fframe-the-butcher.png?alt=media,,,,
kinkaider,herd-law,Herd Law ,Herd Law ,A beautiful golden American wheat ale dosed with honey harvested from hives right off the farm.  The spent grains fed to the cattle next to the hives.  A fantastic drinking experience that is farm fresh and full circle.,Wheat Ale,"Pilsner, Wheat, Goldpils, C40, Honey","Northern Brewer, Hallertauer, Saaz",American Wheat Ale,"light, crisp, and slightly malty taste",4.8,22,,6-Pack bottles,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fkinkaider%2Fbeers%2Fherd-law%2F_resized%2Fherd-law_3200x3200.png?alt=media,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fkinkaider%2Fbeers%2Fherd-law%2Fherd-law.png?alt=media,,,,
kinkaider,bangarang,Bangarang,Bangarang,This New England Style IPA is the newest addition to Kinkaider's IPA lineup.,IPA,,"Galaxy, Strata & Sabro",,,5.7,24,,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fkinkaider%2Fbeers%2Fbangarang%2F_resized%2Fbangarang_3200x3200.png?alt=media,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fkinkaider%2Fbeers%2Fbangarang%2Fbangarang.png?alt=media,,,,
